fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,2.0,0.36167848110198975,0.008103817701339722,0.008987098932266235,0.020639657974243164,0.07860681414604187,0.41241341829299927,0.013717219233512878,0.01611672341823578,0.03344851732254028,0.1531444489955902,1697213438000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,2.2237494395238944,0.36311036348342896,0.006496012210845947,0.007204011082649231,0.020053505897521973,0.07637399435043335,0.4127832353115082,0.012489736080169678,0.014674514532089233,0.032737016677856445,0.1498866081237793,1697213447000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,2.4725307848914166,0.36998045444488525,0.006535276770591736,0.0072475820779800415,0.0152357816696167,0.05802568793296814,0.41771021485328674,0.013099804520606995,0.015391379594802856,0.02999076247215271,0.13731324672698975,1697213456000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,2.749144473553931,0.37320661544799805,0.006163850426673889,0.006835654377937317,0.014247030019760132,0.054259687662124634,0.42007437348365784,0.01224587857723236,0.014388024806976318,0.02872401475906372,0.1315132975578308,1697213464000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,3.0567042411178824,0.3779377341270447,0.00577913224697113,0.006409019231796265,0.012145191431045532,0.04625508189201355,0.4221045672893524,0.011893942952156067,0.01397453248500824,0.02687099575996399,0.12302926182746887,1697213473000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,3.398672171488101,0.37889960408210754,0.004064619541168213,0.0045076459646224976,0.013253897428512573,0.050477564334869385,0.4197244346141815,0.01011262834072113,0.011881604790687561,0.02650129795074463,0.12133640050888062,1697213482000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,3.778897668236059,0.3837454915046692,0.0044951289892196655,0.004985034465789795,0.010775655508041382,0.041039079427719116,0.4246518909931183,0.010569557547569275,0.01241852343082428,0.024220824241638184,0.11089512705802917,1697213490000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,4.201660785879044,0.39063191413879395,0.0037533193826675415,0.004162415862083435,0.007662594318389893,0.029183149337768555,0.4281788468360901,0.009603306651115417,0.01128317415714264,0.022455573081970215,0.10281291604042053,1697213499000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,4.671720408834024,0.39768534898757935,0.002522706985473633,0.002797648310661316,0.006899058818817139,0.02627485990524292,0.43405652046203613,0.008639022707939148,0.010150238871574402,0.019475609064102173,0.08916935324668884,1697213508000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,5.1943678203785,0.4014715254306793,0.0026587098836898804,0.002948477864265442,0.005540966987609863,0.021102964878082275,0.43380460143089294,0.00828176736831665,0.009730488061904907,0.01808270812034607,0.08279186487197876,1697213516000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,5.7754862646238205,0.4056869447231293,0.002665311098098755,0.0029558390378952026,0.005625218152999878,0.02142372727394104,0.4361465275287628,0.007602274417877197,0.008932173252105713,0.017099648714065552,0.07829093933105469,1697213525000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,6.4216171719675845,0.4141770303249359,0.002711474895477295,0.0030070245265960693,0.004801303148269653,0.018285661935806274,0.4403131604194641,0.007276847958564758,0.008549809455871582,0.014846324920654297,0.06797397136688232,1697213534000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,7.140033793499966,0.4214007258415222,0.0023434460163116455,0.002598881721496582,0.003014594316482544,0.011481225490570068,0.44781258702278137,0.006822675466537476,0.008016198873519897,0.012354284524917603,0.056564152240753174,1697213542000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,7.9388230732386065,0.4298870861530304,0.0010556578636169434,0.0011707097291946411,0.003147721290588379,0.011988043785095215,0.45276156067848206,0.004533067345619202,0.0053260475397109985,0.011637061834335327,0.05328023433685303,1697213551000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,8.826976679796855,0.43908149003982544,0.0010702162981033325,0.001186862587928772,0.0030134618282318115,0.011476695537567139,0.4562546908855438,0.00479617714881897,0.005635201930999756,0.010133057832717896,0.0463944673538208,1697213560000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,9.814492222194371,0.446213960647583,0.001545339822769165,0.0017137378454208374,0.0024549365043640137,0.009349614381790161,0.4636252820491791,0.005032941699028015,0.005913332104682922,0.008244752883911133,0.0377485454082489,1697213568000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,10.912485789158175,0.45952555537223816,0.0006490200757980347,0.0007197558879852295,0.001834183931350708,0.006985306739807129,0.47233012318611145,0.003110915422439575,0.003655076026916504,0.006788194179534912,0.03107975423336029,1697213577000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,12.133317078726476,0.46788784861564636,0.0010193884372711182,0.001130521297454834,0.0015543699264526367,0.005919814109802246,0.4794197082519531,0.003478303551673889,0.0040867626667022705,0.005310952663421631,0.024316176772117615,1697213586000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,13.490728526691848,0.477172315120697,0.0003061443567276001,0.0003395378589630127,0.001047670841217041,0.003990113735198975,0.48546624183654785,0.0023687928915023804,0.0027831941843032837,0.004442989826202393,0.020342260599136353,1697213595000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,15.000000000000004,0.48939287662506104,0.00018112361431121826,0.00020082294940948486,0.0011473596096038818,0.004369556903839111,0.49555525183677673,0.0017008930444717407,0.001998394727706909,0.003475755453109741,0.015913888812065125,1697213603000
Alpha,synthetic,100,0.0001,MAX,6000,6000,0.4,0.3,0.1,0.2,0.02,10,242,0.5,0.3667874038219452,0.019523724913597107,0.021651625633239746,0.015771299600601196,0.06006518006324768,0.4161476194858551,0.025493130087852478,0.02995266020298004,0.029213935136795044,0.1337561011314392,1697213612000
