fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,2.0,0.30599793791770935,0.005406036972999573,0.011040031909942627,0.018419116735458374,0.08626323938369751,0.33394697308540344,0.010847315192222595,0.02277664840221405,0.041370511054992676,0.1852581799030304,1697212077000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,2.2237494395238944,0.31105655431747437,0.005633346736431122,0.011504292488098145,0.015308231115341187,0.07169362902641296,0.33848002552986145,0.01105094701051712,0.023204222321510315,0.03847116231918335,0.17227493226528168,1697212086000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,2.4725307848914166,0.31325533986091614,0.004954546689987183,0.010118037462234497,0.015593796968460083,0.07303082942962646,0.34001144766807556,0.009958803653717041,0.020910993218421936,0.036985039710998535,0.16561953723430634,1697212094000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,2.749144473553931,0.3149215579032898,0.0039688944816589355,0.008105166256427765,0.014284670352935791,0.06689974665641785,0.34224191308021545,0.008909016847610474,0.018706709146499634,0.03580427169799805,0.16033251583576202,1697212103000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,3.0567042411178824,0.32068052887916565,0.003584854304790497,0.007320895791053772,0.012877702713012695,0.06031087040901184,0.3460705280303955,0.007867656648159027,0.01652011275291443,0.03406378626823425,0.15253816545009613,1697212112000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,3.398672171488101,0.3246038258075714,0.003360845148563385,0.006863430142402649,0.009660959243774414,0.045245349407196045,0.3498528301715851,0.008159421384334564,0.01713278889656067,0.03073558211326599,0.1376344859600067,1697212121000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,3.778897668236059,0.32844051718711853,0.0030311420559883118,0.0061901286244392395,0.010106295347213745,0.04733109474182129,0.3518190085887909,0.007589273154735565,0.015935614705085754,0.028985530138015747,0.12979799509048462,1697212129000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,4.201660785879044,0.33468085527420044,0.0024875998497009277,0.005080118775367737,0.007280826568603516,0.03409871459007263,0.3572261929512024,0.0065519362688064575,0.013757467269897461,0.02614244818687439,0.11706654727458954,1697212138000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,4.671720408834024,0.34081897139549255,0.0021404847502708435,0.004371248185634613,0.005595892667770386,0.026207387447357178,0.362562894821167,0.005936488509178162,0.012465134263038635,0.023525625467300415,0.1053483635187149,1697212147000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.3,0.2,0.1,0.2,0.02,10,242,5.1943678203785,0.34632235765457153,0.0008328035473823547,0.0017007142305374146,0.006432235240936279,0.030124187469482422,0.3642946481704712,0.004658862948417664,0.009782478213310242,0.02222263813018799,0.09951353073120117,1697212156000
