fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,2.0,0.39191126823425293,0.0006192028522491455,0.00047503411769866943,0.017262578010559082,0.12757083773612976,0.46422991156578064,0.0003306567668914795,0.00026530027389526367,0.03237473964691162,0.2614225149154663,1697213779000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,2.2237494395238944,0.3918999135494232,0.0001876354217529297,0.0001439601182937622,0.017671167850494385,0.13059058785438538,0.46279898285865784,0.0006166845560073853,0.0004948228597640991,0.03201627731323242,0.2585267424583435,1697213788000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,2.4725307848914166,0.4025188088417053,0.0009463578462600708,0.0007260441780090332,0.014103829860687256,0.10422837734222412,0.4720069169998169,0.0033088624477386475,0.0026549696922302246,0.02930229902267456,0.23661309480667114,1697213797000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,2.749144473553931,0.4053175449371338,0.0007828027009963989,0.0006005913019180298,0.013430655002593994,0.099252849817276,0.4743233919143677,0.0013885796070098877,0.001114189624786377,0.02846240997314453,0.22983047366142273,1697213805000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,3.0567042411178824,0.41392993927001953,2.1666288375854492e-05,1.6614794731140137e-05,0.011205077171325684,0.08280554413795471,0.48074695467948914,0.00270216166973114,0.0021681785583496094,0.026711642742156982,0.21569380164146423,1697213814000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,3.398672171488101,0.41641294956207275,0.002958938479423523,0.002270132303237915,0.011150062084197998,0.08239886164665222,0.4810914993286133,0.004803702235221863,0.0038544535636901855,0.026731431484222412,0.21585410833358765,1697213823000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,3.778897668236059,0.4245358109474182,0.0025642365217208862,0.0019673556089401245,0.008882105350494385,0.0656384825706482,0.4890558123588562,0.004557624459266663,0.0036569684743881226,0.02421402931213379,0.19552519917488098,1697213831000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,4.201660785879044,0.4354340136051178,0.00030729174613952637,0.00023578107357025146,0.006940603256225586,0.05129116773605347,0.4943969249725342,0.0023389309644699097,0.0018766820430755615,0.02179098129272461,0.17596042156219482,1697213840000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,4.671720408834024,0.43685033917427063,0.0018343180418014526,0.001407340168952942,0.0075209736824035645,0.055579930543899536,0.4921815097332001,0.0049193501472473145,0.003947198390960693,0.021262824535369873,0.17169544100761414,1697213849000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.5,0.1,0.2,0.02,10,242,5.1943678203785,0.4475405216217041,0.001500248908996582,0.0011510103940963745,0.005081117153167725,0.03754931688308716,0.504249632358551,0.004639044404029846,0.003722280263900757,0.019309252500534058,0.15592044591903687,1697213857000
