fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,2.0,0.2910679578781128,0.004214592278003693,0.00553528219461441,0.018598556518554688,0.05017977952957153,0.36176738142967224,0.006518423557281494,0.008705422282218933,0.043408215045928955,0.13412252068519592,1697220953000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,2.2237494395238944,0.29201439023017883,0.004365898668766022,0.005733996629714966,0.01603299379348755,0.043257683515548706,0.3627942204475403,0.006450541317462921,0.00861482322216034,0.04165393114089966,0.12870201468467712,1697220962000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,2.4725307848914166,0.29464879631996155,0.003129526972770691,0.004110187292098999,0.014490276575088501,0.03909537196159363,0.3614588975906372,0.005522005259990692,0.007374711334705353,0.04102644324302673,0.12676334381103516,1697220971000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,2.749144473553931,0.29687419533729553,0.003207281231880188,0.00421229749917984,0.013310402631759644,0.03591206669807434,0.36386966705322266,0.005458340048789978,0.007289700210094452,0.0385308563709259,0.11905238032341003,1697220979000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,3.0567042411178824,0.29898786544799805,0.003016829490661621,0.00396217405796051,0.012706279754638672,0.03428220748901367,0.36553946137428284,0.005447469651699066,0.007275179028511047,0.03720453381538391,0.11495459079742432,1697220989000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,3.398672171488101,0.30261921882629395,0.003048144280910492,0.00400330126285553,0.011714696884155273,0.031606823205947876,0.3659802973270416,0.004959374666213989,0.006623320281505585,0.03586244583129883,0.1108076423406601,1697220997000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,3.778897668236059,0.3068682551383972,0.0022159218788146973,0.0029102861881256104,0.009217590093612671,0.024869441986083984,0.3680402934551239,0.003961138427257538,0.0052901580929756165,0.032150208950042725,0.09933745861053467,1697221007000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,4.201660785879044,0.3087705075740814,0.0033869221806526184,0.004448249936103821,0.007196664810180664,0.019416898488998413,0.36662328243255615,0.005453541874885559,0.007283315062522888,0.031407326459884644,0.09704232215881348,1697221015000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,4.671720408834024,0.31439584493637085,0.0013160929083824158,0.0017284974455833435,0.006655961275100708,0.017958015203475952,0.3713849186897278,0.003801390528678894,0.005076810717582703,0.02893543243408203,0.08940453827381134,1697221025000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,10,300,5.1943678203785,0.3201941251754761,0.0006623566150665283,0.0008699223399162292,0.005912125110626221,0.0159512460231781,0.372476190328598,0.002442397177219391,0.003261864185333252,0.0267677903175354,0.08270706236362457,1697221033000
