fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,2.0,0.25410592555999756,0.0027092471718788147,0.020907647907733917,0.01026606559753418,0.17908596992492676,0.303225576877594,0.003936454653739929,0.03306317329406738,0.01932358741760254,0.36381715536117554,1697211734000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,2.2237494395238944,0.25777003169059753,0.002190902829170227,0.016907423734664917,0.009240269660949707,0.16119122505187988,0.30616283416748047,0.003779888153076172,0.03174818307161331,0.018768906593322754,0.35337400436401367,1697211742000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,2.4725307848914166,0.25987645983695984,0.0018623992800712585,0.014372341334819794,0.008796155452728271,0.1534445881843567,0.3072706162929535,0.003618970513343811,0.03039661794900894,0.018723011016845703,0.3525092303752899,1697211751000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,2.749144473553931,0.2632158696651459,0.001961730420589447,0.01513884961605072,0.0077239274978637695,0.13473957777023315,0.3091839551925659,0.0038254782557487488,0.032130979001522064,0.01797783374786377,0.3384782671928406,1697211760000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,3.0567042411178824,0.26746004819869995,0.00215834379196167,0.016656234860420227,0.0066814422607421875,0.11655396223068237,0.3127055764198303,0.00394255667924881,0.03311445564031601,0.017098724842071533,0.3219282031059265,1697211769000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,3.398672171488101,0.2721594572067261,0.0016683340072631836,0.012874677777290344,0.005855381488800049,0.1021442711353302,0.31598010659217834,0.0037437304854393005,0.03144431114196777,0.016409724950790405,0.30895671248435974,1697211778000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,3.778897668236059,0.27730274200439453,0.0013482645153999329,0.010404601693153381,0.00563657283782959,0.09832799434661865,0.32014262676239014,0.003623358905315399,0.030433334410190582,0.015782535076141357,0.29714658856391907,1697211786000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,4.201660785879044,0.2815825343132019,0.001540951430797577,0.011891596019268036,0.005085259675979614,0.08870971202850342,0.3215276002883911,0.003751806914806366,0.03151227533817291,0.014861375093460083,0.27980512380599976,1697211795000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,4.671720408834024,0.2888670265674591,0.0012278035283088684,0.009475231170654297,0.003777414560317993,0.06589490175247192,0.32724490761756897,0.0035635456442832947,0.029931016266345978,0.01366683840751648,0.2573140859603882,1697211804000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,5.1943678203785,0.293867826461792,0.0007253661751747131,0.005597725510597229,0.0045118629932403564,0.07870697975158691,0.33008038997650146,0.0030733123421669006,0.025813356041908264,0.013233095407485962,0.24914740025997162,1697211813000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.1,0.2,0.1,0.2,0.02,10,242,5.7754862646238205,0.3021364212036133,0.001244954764842987,0.009607359766960144,0.0023694634437561035,0.04133304953575134,0.3360253572463989,0.0039099156856536865,0.03284020721912384,0.011903315782546997,0.22411072254180908,1697211821000
