fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,2.0,0.16269128024578094,0.013979487121105194,0.01902836188673973,0.018064677715301514,0.05090939998626709,0.18983499705791473,0.016826912760734558,0.022128555923700333,0.03628617525100708,0.09869849681854248,1697217868000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,2.2237494395238944,0.1780921369791031,0.014767646789550781,0.02010117471218109,0.005595147609710693,0.01576817035675049,0.20165196061134338,0.017252594232559204,0.02268834412097931,0.012537717819213867,0.03410261869430542,1697217876000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,2.4725307848914166,0.17469115555286407,0.010941989719867706,0.014893844723701477,0.011384367942810059,0.032083094120025635,0.19599629938602448,0.01276225596666336,0.016783230006694794,0.027349352836608887,0.0743904709815979,1697217885000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,2.749144473553931,0.18252578377723694,0.009742401540279388,0.013260994106531143,0.012653708457946777,0.0356602668762207,0.19674715399742126,0.011030353605747223,0.014505650848150253,0.026657938957214355,0.07250958681106567,1697217894000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,3.0567042411178824,0.19174304604530334,0.008988425135612488,0.012234717607498169,0.005083024501800537,0.014324963092803955,0.20987017452716827,0.010983839631080627,0.014444507658481598,0.008177518844604492,0.02224290370941162,1697217903000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,3.398672171488101,0.21936742961406708,0.011290773749351501,0.015368595719337463,0.03932267427444458,0.11081799864768982,0.23214374482631683,0.012233689427375793,0.01608818769454956,0.027120769023895264,0.07376855611801147,1697217912000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,3.778897668236059,0.2058895230293274,0.0055922046303749084,0.007611922919750214,0.0032686591148376465,0.00921177864074707,0.21610839664936066,0.00661052018404007,0.008693277835845947,0.01721268892288208,0.04681849479675293,1697217921000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,4.201660785879044,0.22008182108402252,0.0036230534315109253,0.004931546747684479,0.002132624387741089,0.006010144948959351,0.22702905535697937,0.00480516254901886,0.006319113075733185,0.00743064284324646,0.020211458206176758,1697217930000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,4.671720408834024,0.21274662017822266,0.004226423799991608,0.005752861499786377,0.006234973669052124,0.017571240663528442,0.219137042760849,0.004855841398239136,0.0063857585191726685,0.01557612419128418,0.04236710071563721,1697217938000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,5.1943678203785,0.2381475567817688,0.004825800657272339,0.006568707525730133,0.016178667545318604,0.04559430480003357,0.24037465453147888,0.005088977515697479,0.006692372262477875,0.007482767105102539,0.02035316824913025,1697217947000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,5.7754862646238205,0.24669674038887024,0.0015443488955497742,0.002102099359035492,0.0010576248168945312,0.0029805004596710205,0.24874965846538544,0.002713724970817566,0.0035687237977981567,0.009832531213760376,0.026744604110717773,1697217956000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,6.4216171719675845,0.24896690249443054,0.0019904151558876038,0.0027092695236206055,0.012709230184555054,0.03581687808036804,0.24990949034690857,0.002154916524887085,0.0028338581323623657,0.01807016134262085,0.049150824546813965,1697217965000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,7.140033793499966,0.2692966163158417,0.000973239541053772,0.0013247281312942505,0.010575175285339355,0.029802829027175903,0.2690199017524719,0.0017765536904335022,0.002336271107196808,0.002338021993637085,0.006359398365020752,1697217974000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,7.9388230732386065,0.28717148303985596,0.0013499259948730469,0.0018374621868133545,0.017918288707733154,0.05049699544906616,0.285143107175827,0.0025289803743362427,0.0033257603645324707,0.014147341251373291,0.03848060965538025,1697217983000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,8.826976679796855,0.29631903767585754,0.0011280477046966553,0.001535460352897644,0.014014959335327148,0.03949683904647827,0.2937999367713928,0.0020192116498947144,0.00265541672706604,0.020434319972991943,0.05558118224143982,1697217991000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,9.814492222194371,0.30589503049850464,0.0007086619734764099,0.0009646043181419373,0.007676541805267334,0.02163386344909668,0.30078592896461487,0.0012407004833221436,0.001631610095500946,0.010610759258270264,0.028861165046691895,1697218000000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,10.912485789158175,0.3143369257450104,0.0002990812063217163,0.0004070848226547241,0.004058271646499634,0.011436939239501953,0.30907541513442993,0.0009934455156326294,0.0013064667582511902,0.009671032428741455,0.026305198669433594,1697218009000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,12.133317078726476,0.33290451765060425,0.0002774372696876526,0.0003776252269744873,0.0025973767042160034,0.007319822907447815,0.3284980058670044,0.00041368603706359863,0.0005440190434455872,1.7210841178894043e-05,4.684925079345703e-05,1697218017000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,13.490728526691848,0.3426135778427124,0.0006218031048774719,0.000846371054649353,0.0003893822431564331,0.001097261905670166,0.33669421076774597,0.0010864287614822388,0.0014287233352661133,0.0033367574214935303,0.009075954556465149,1697218026000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,15.000000000000004,0.35394856333732605,0.00041490793228149414,0.0005647391080856323,0.006797492504119873,0.019156605005264282,0.3471829891204834,0.0010843351483345032,0.0014259889721870422,0.009452983736991882,0.02571217715740204,1697218035000
Alpha,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,1,10,242,0.5,0.16674427688121796,0.018494196236133575,0.025173619389533997,0.03950732946395874,0.11133897304534912,0.18385331332683563,0.0202043317258358,0.026570074260234833,0.055079519748687744,0.14981603622436523,1697218045000
