fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,2.0,0.3292522430419922,0.01063653826713562,0.01439504325389862,0.025556892156600952,0.07089334726333618,0.35204625129699707,0.018833152949810028,0.025045111775398254,0.04379376769065857,0.13501393795013428,1697216840000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,2.2237494395238944,0.33287307620048523,0.009054146707057953,0.012253455817699432,0.022938042879104614,0.06362900137901306,0.3538506329059601,0.017234638333320618,0.022919297218322754,0.04146954417228699,0.1278485357761383,1697216848000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,2.4725307848914166,0.3367420732975006,0.00749564915895462,0.010144248604774475,0.02052241563796997,0.056928157806396484,0.3559323847293854,0.015511803328990936,0.02062821388244629,0.03950414061546326,0.12178927659988403,1697216857000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,2.749144473553931,0.3410772979259491,0.007714532315731049,0.010440506041049957,0.01718670129776001,0.047675102949142456,0.3580686151981354,0.015405595302581787,0.020486995577812195,0.0369834303855896,0.11401811242103577,1697216866000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,3.0567042411178824,0.3458406627178192,0.005035050213336945,0.006814219057559967,0.015025883913040161,0.041681066155433655,0.36248356103897095,0.01279023289680481,0.0170089453458786,0.034913480281829834,0.10763660073280334,1697216875000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,3.398672171488101,0.3506377041339874,0.004227474331855774,0.005721285939216614,0.012938916683197021,0.0358918160200119,0.36423441767692566,0.011885024607181549,0.0158051997423172,0.03213369846343994,0.09906652569770813,1697216883000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,3.778897668236059,0.35518336296081543,0.004016391932964325,0.005435585975646973,0.011702686548233032,0.0324627161026001,0.36564335227012634,0.011020109057426453,0.014654979109764099,0.030179142951965332,0.09304085373878479,1697216892000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,4.201660785879044,0.3572150766849518,0.003360666334629059,0.004548206925392151,0.010330051183700562,0.02865496277809143,0.36754292249679565,0.010697975754737854,0.014226600527763367,0.028748363256454468,0.08862978219985962,1697216901000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,4.671720408834024,0.3643368184566498,0.003580257296562195,0.004845350980758667,0.00830996036529541,0.023051321506500244,0.37020641565322876,0.009985595941543579,0.013279274106025696,0.024710506200790405,0.07618126273155212,1697216909000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.0,10,242,5.1943678203785,0.36870691180229187,0.0024322420358657837,0.003291711211204529,0.008298724889755249,0.02302020788192749,0.3715026378631592,0.007796049118041992,0.010367512702941895,0.0236881822347641,0.07302938401699066,1697216918000
