fairness_name,dataset_name,num_epochs,learning_rate,CUSTOM_MAX,train_size,test_size,eta,gamma_0,gamma_1,information_0,information_1,feature_size_0,feature_size_1,fairness_weight,objective_loss_train,alpha_loss_train_00,alpha_loss_train_01,alpha_loss_train_10,alpha_loss_train_11,objective_loss_test,alpha_loss_test_00,alpha_loss_test_01,alpha_loss_test_10,alpha_loss_test_11,timestamp
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,2.0,0.3369072675704956,0.0009246170520782471,0.0012166723608970642,0.011227518320083618,0.03617742657661438,0.3807793855667114,0.0012226104736328125,0.0016212984919548035,0.01726934313774109,0.059186115860939026,1697218558000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,2.2237494395238944,0.33882761001586914,0.0004037097096443176,0.0005312338471412659,0.008491694927215576,0.027362197637557983,0.3814152777194977,0.0003811493515968323,0.0005054622888565063,0.01495450735092163,0.05125260353088379,1697218567000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,2.4725307848914166,0.3389360010623932,0.00041212141513824463,0.0005423128604888916,0.011241436004638672,0.03622226417064667,0.38100725412368774,0.00039008259773254395,0.0005173087120056152,0.016673415899276733,0.05714374780654907,1697218575000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,2.749144473553931,0.3416616916656494,0.00024054944515228271,0.00031654536724090576,0.007298856973648071,0.02351859211921692,0.3836987018585205,0.000985749065876007,0.0013072416186332703,0.014715060591697693,0.05043181777000427,1697218584000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,3.0567042411178824,0.34435659646987915,0.0013874992728233337,0.001825772225856781,0.007407724857330322,0.023869559168815613,0.38317418098449707,0.0017464086413383484,0.0023159533739089966,0.013613790273666382,0.04665765166282654,1697218593000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,3.398672171488101,0.3461703956127167,0.0014027059078216553,0.0018457770347595215,0.006413877010345459,0.02066682279109955,0.3843610882759094,0.001555517315864563,0.002062790095806122,0.012943163514137268,0.04435916244983673,1697218602000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,3.778897668236059,0.35003116726875305,0.0007897168397903442,0.001039154827594757,0.004140153527259827,0.013340547680854797,0.387239545583725,0.0014108866453170776,0.0018710047006607056,0.010245278477668762,0.03511294722557068,1697218611000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,4.201660785879044,0.3513375520706177,9.910017251968384e-05,0.00013037770986557007,0.005955636501312256,0.019190415740013123,0.3875747621059418,0.0006487071514129639,0.0008602514863014221,0.01134355366230011,0.03887692093849182,1697218619000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,4.671720408834024,0.35508963465690613,0.00033049285411834717,0.00043489038944244385,0.004061266779899597,0.013086333870887756,0.38937798142433167,0.001051105558872223,0.0013938993215560913,0.009429872035980225,0.03231839835643768,1697218628000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,5.1943678203785,0.3571849465370178,5.4098665714263916e-05,7.117539644241333e-05,0.00527702271938324,0.017003700137138367,0.3906783163547516,0.0009616836905479431,0.0012752935290336609,0.009722962975502014,0.03332287073135376,1697218637000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,5.7754862646238205,0.361431360244751,0.0005694329738616943,0.0007492899894714355,0.003767237067222595,0.01213902235031128,0.39287012815475464,0.0011750683188438416,0.0015583038330078125,0.006990119814872742,0.023956701159477234,1697218646000
Beta,synthetic,100,0.0001,MAX,6000,6000,0.4,0.2,0.1,0.2,0.02,5,242,6.4216171719675845,0.3648067116737366,0.0002720057964324951,0.0003579556941986084,0.0021061599254608154,0.00678659975528717,0.394936740398407,0.00041194260120391846,0.0005462616682052612,0.006402403116226196,0.021942511200904846,1697218655000
